#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Das läuft jetzt schon, oder?
83-6	6167-6170	die	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-7	6171-6176	Noten	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-8	6176-6177	,	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-9	6178-6181	die	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-10	6182-6190	spiegeln	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-11	6191-6195	sich	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-12	6196-6198	ja	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-13	6199-6203	dann	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-14	6204-6209	nicht	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-15	6210-6213	mit	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-16	6214-6217	den	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-17	6218-6231	schriftlichen	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-18	6232-6237	Noten	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	
83-19	6237-6238	.	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*[81]	Paraphrasieren[81]	*[81]	*[81]	

#Text=E: Ja, ja, genau.
84-1	6239-6240	E	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
84-2	6240-6241	:	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
84-3	6242-6244	Ja	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
84-4	6244-6245	,	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
84-5	6246-6248	ja	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
84-6	6248-6249	,	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
84-7	6250-6255	genau	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
84-8	6255-6256	.	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	

#Text=L (glz.): Genau.
85-1	6257-6258	L	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
85-2	6259-6260	(	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
85-3	6260-6263	glz	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
85-4	6263-6264	.	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
85-5	6264-6265	)	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
85-6	6265-6266	:	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	_	_	_	_	
85-7	6267-6272	Genau	*[35]	*[35]	*[35]	*[35]	Informationsphase[35]	*[35]	*[35]	*	*	*	Nicht-festgelegte Aufmerksamkeitsreaktion	
85-8	6272-6273	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=L (glz.): Deswegen dann probieren wir es mal so, ob sich dadurch dann was ändert.
86-1	6274-6275	L	_	_	_	_	_	_	_	_	_	_	_	
86-2	6276-6277	(	_	_	_	_	_	_	_	_	_	_	_	
86-3	6277-6280	glz	_	_	_	_	_	_	_	_	_	_	_	
86-4	6280-6281	.	_	_	_	_	_	_	_	_	_	_	_	
86-5	6281-6282	)	_	_	_	_	_	_	_	_	_	_	_	
86-6	6282-6283	:	_	_	_	_	_	_	_	_	_	_	_	
86-7	6284-6292	Deswegen	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-8	6293-6297	dann	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-9	6298-6307	probieren	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-10	6308-6311	wir	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-11	6312-6314	es	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-12	6315-6318	mal	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-13	6319-6321	so	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-14	6321-6322	,	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-15	6323-6325	ob	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-16	6326-6330	sich	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-17	6331-6338	dadurch	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-18	6339-6343	dann	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-19	6344-6347	was	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-20	6348-6354	ändert	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	
86-21	6354-6355	.	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[82]	*[82]	Strukturieren[82]	*[82]	

#Text=L (glz.): Und sonst können wir aber nochmal uns zusammen beschäftigen.
87-1	6356-6357	L	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
87-2	6358-6359	(	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
87-3	6359-6362	glz	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
87-4	6362-6363	.	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
87-5	6363-6364	)	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
87-6	6364-6365	:	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
87-7	6366-6369	Und	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-8	6370-6375	sonst	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-9	6376-6382	können	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-10	6383-6386	wir	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-11	6387-6391	aber	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-12	6392-6399	nochmal	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-13	6400-6403	uns	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-14	6404-6412	zusammen	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-15	6413-6425	beschäftigen	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	
87-16	6425-6426	.	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	*[83]	*[83]	Strukturieren[83]	*[83]	

#Text=E: Ja, ja.
88-1	6427-6428	E	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
88-2	6428-6429	:	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
88-3	6430-6432	Ja	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
88-4	6432-6433	,	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
88-5	6434-6436	ja	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
88-6	6436-6437	.	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	

#Text=E: Also wenn das nicht funktioniert, werde ich mich auf jeden Fall nochmal an Sie wenden, weil wie gesagt, das ist ja kein Zustand, das kann ja so nicht sein und er soll ja dadurch auch nicht seine Zukunft verbaut kriegen.
89-1	6438-6439	E	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-2	6439-6440	:	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-3	6441-6445	Also	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-4	6446-6450	wenn	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-5	6451-6454	das	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-6	6455-6460	nicht	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-7	6461-6473	funktioniert	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-8	6473-6474	,	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-9	6475-6480	werde	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-10	6481-6484	ich	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-11	6485-6489	mich	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-12	6490-6493	auf	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-13	6494-6499	jeden	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-14	6500-6504	Fall	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-15	6505-6512	nochmal	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-16	6513-6515	an	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-17	6516-6519	Sie	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-18	6520-6526	wenden	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-19	6526-6527	,	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-20	6528-6532	weil	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-21	6533-6536	wie	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-22	6537-6543	gesagt	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-23	6543-6544	,	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-24	6545-6548	das	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-25	6549-6552	ist	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-26	6553-6555	ja	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-27	6556-6560	kein	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-28	6561-6568	Zustand	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-29	6568-6569	,	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-30	6570-6573	das	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-31	6574-6578	kann	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-32	6579-6581	ja	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-33	6582-6584	so	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-34	6585-6590	nicht	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-35	6591-6595	sein	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-36	6596-6599	und	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-37	6600-6602	er	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-38	6603-6607	soll	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-39	6608-6610	ja	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-40	6611-6618	dadurch	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-41	6619-6623	auch	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-42	6624-6629	nicht	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-43	6630-6635	seine	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-44	6636-6643	Zukunft	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-45	6644-6651	verbaut	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-46	6652-6659	kriegen	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
89-47	6659-6660	.	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	

#Text=E: Also das wäre ja auch wirklich, nee.
90-1	6661-6662	E	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-2	6662-6663	:	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-3	6664-6668	Also	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-4	6669-6672	das	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-5	6673-6677	wäre	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-6	6678-6680	ja	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-7	6681-6685	auch	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-8	6686-6694	wirklich	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-9	6694-6695	,	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-10	6696-6699	nee	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	
90-11	6699-6700	.	*[36]	*[36]	*[36]	Beschlussphase[36]	*[36]	*[36]	*[36]	_	_	_	_	

#Text=L: Nein, natürlich nicht, genau.
91-1	6701-6702	L	_	_	_	_	_	_	_	_	_	_	_	
91-2	6702-6703	:	_	_	_	_	_	_	_	_	_	_	_	
91-3	6704-6708	Nein	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[84]	*[84]	*[84]	Nicht-festgelegte Aufmerksamkeitsreaktion[84]	
91-4	6708-6709	,	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[84]	*[84]	*[84]	Nicht-festgelegte Aufmerksamkeitsreaktion[84]	
91-5	6710-6719	natürlich	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[84]	*[84]	*[84]	Nicht-festgelegte Aufmerksamkeitsreaktion[84]	
91-6	6720-6725	nicht	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[84]	*[84]	*[84]	Nicht-festgelegte Aufmerksamkeitsreaktion[84]	
91-7	6725-6726	,	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[84]	*[84]	*[84]	Nicht-festgelegte Aufmerksamkeitsreaktion[84]	
91-8	6727-6732	genau	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[84]	*[84]	*[84]	Nicht-festgelegte Aufmerksamkeitsreaktion[84]	
91-9	6732-6733	.	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[84]	*[84]	*[84]	Nicht-festgelegte Aufmerksamkeitsreaktion[84]	

#Text=L: Ja, dann fragen wir mal, ob es so bessert.
92-1	6734-6735	L	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
92-2	6735-6736	:	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
92-3	6737-6739	Ja	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-4	6739-6740	,	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-5	6741-6745	dann	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-6	6746-6752	fragen	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-7	6753-6756	wir	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-8	6757-6760	mal	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-9	6760-6761	,	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-10	6762-6764	ob	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-11	6765-6767	es	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-12	6768-6770	so	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-13	6771-6778	bessert	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	
92-14	6778-6779	.	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	*[85]	*[85]	Strukturieren[85]	*[85]	

#Text=E (glz.): Ja.
93-1	6780-6781	E	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
93-2	6782-6783	(	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
93-3	6783-6786	glz	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
93-4	6786-6787	.	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
93-5	6787-6788	)	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
93-6	6788-6789	:	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
93-7	6790-6792	Ja	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
93-8	6792-6793	.	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	

#Text=E: Okay, ja.
94-1	6794-6795	E	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
94-2	6795-6796	:	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
94-3	6797-6801	Okay	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
94-4	6801-6802	,	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
94-5	6803-6805	ja	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	
94-6	6805-6806	.	*[37]	*[37]	*[37]	Beschlussphase[37]	*[37]	*[37]	*[37]	_	_	_	_	

#Text=L: Genau, ja, und dann bleiben wir einfach in Kontakt.
95-1	6807-6808	L	_	_	_	_	_	_	_	_	_	_	_	
95-2	6808-6809	:	_	_	_	_	_	_	_	*[86]	*[86]	Strukturieren[86]	*[86]	
95-3	6810-6815	Genau	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-4	6815-6816	,	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-5	6817-6819	ja	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-6	6819-6820	,	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-7	6821-6824	und	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-8	6825-6829	dann	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-9	6830-6837	bleiben	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-10	6838-6841	wir	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-11	6842-6849	einfach	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-12	6850-6852	in	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-13	6853-6860	Kontakt	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	
95-14	6860-6861	.	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	*[86]	*[86]	Strukturieren[86]	*[86]	

#Text=E (glz.): Mhm.
96-1	6862-6863	E	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
96-2	6864-6865	(	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
96-3	6865-6868	glz	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
96-4	6868-6869	.	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
96-5	6869-6870	)	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
96-6	6870-6871	:	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
96-7	6872-6875	Mhm	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
96-8	6875-6876	.	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	

#Text=E (glz.): Ja, okay, das mache ich.
97-1	6877-6878	E	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
97-2	6879-6880	(	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
97-3	6880-6883	glz	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
97-4	6883-6884	.	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
97-5	6884-6885	)	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
97-6	6885-6886	:	*[38]	*[38]	*[38]	Beschlussphase[38]	*[38]	*[38]	*[38]	_	_	_	_	
